frame,zeit_s,status,status_info,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1,0.0000,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2,0.0200,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,0.1241,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
4,0.1341,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
5,0.1387,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
6,0.1448,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7,0.1511,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8,0.1557,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
9,0.1899,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
10,0.2074,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
11,0.2219,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
12,0.2370,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
13,0.2495,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14,0.2584,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
15,0.2722,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
16,0.2881,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
17,0.3009,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
18,0.3141,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
19,0.3350,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
20,0.3557,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
21,0.3601,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
22,0.3645,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
23,0.3684,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
24,0.3737,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
25,0.3798,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
26,0.3841,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
27,0.3889,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
28,0.3954,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
29,0.3990,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
30,0.4026,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
31,0.4060,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
32,0.4097,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
33,0.4137,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
34,0.4171,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
35,0.4197,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
36,0.4225,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
37,0.4255,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
38,0.4293,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
39,0.4328,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
40,0.4364,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
41,0.4394,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
42,0.4422,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
43,0.4456,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
44,0.4491,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
45,0.4522,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
46,0.4555,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
47,0.4603,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48,0.4656,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49,0.4696,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50,0.4728,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51,0.4761,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52,0.4799,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
53,0.4831,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
54,0.4862,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
55,0.4892,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
56,0.4925,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
57,0.4981,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
58,0.5018,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
59,0.5058,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
60,0.5095,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
61,0.5137,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
62,0.5177,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
63,0.5216,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
64,0.5246,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
65,0.5312,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
66,0.5388,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
67,0.5416,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
68,0.5452,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
69,0.5495,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
70,0.5527,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
71,0.5563,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
72,0.5594,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
73,0.5632,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
74,0.5667,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
75,0.5702,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
76,0.5733,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
77,0.5768,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
78,0.5808,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
79,0.5844,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
80,0.5882,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
81,0.5909,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
82,0.5944,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
83,0.5972,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
84,0.6001,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
85,0.6027,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
86,0.6058,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
87,0.6089,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
88,0.6125,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
89,0.6167,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
90,0.6200,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
91,0.6233,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
92,0.6268,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
93,0.6305,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
94,0.6336,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
95,0.6374,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
96,0.6401,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
97,0.6430,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
98,0.6459,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
99,0.6487,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
100,0.6523,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
101,0.6563,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
102,0.6615,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
103,0.6665,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
104,0.6698,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
105,0.6726,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
106,0.6756,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
107,0.6800,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
108,0.6829,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
109,0.6856,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
110,0.6885,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
111,0.6912,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
112,0.6951,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
113,0.6986,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
114,0.7019,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
115,0.7054,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
116,0.7086,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
117,0.7120,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
118,0.7148,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
119,0.7178,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
120,0.7212,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
121,0.7246,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
122,0.7305,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
123,0.7349,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
124,0.7380,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
125,0.7407,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
126,0.7439,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
127,0.7472,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
128,0.7499,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
129,0.7527,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
130,0.7554,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
131,0.7586,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
132,0.7628,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
133,0.7668,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
134,0.7713,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
135,0.7743,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
136,0.7790,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
137,0.7818,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
138,0.7847,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
139,0.7874,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
140,0.7902,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
141,0.7936,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
142,0.7969,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
143,0.7996,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
144,0.8023,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
145,0.8049,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
146,0.8080,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
147,0.8146,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
148,0.8190,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
149,0.8223,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
150,0.8261,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
151,0.8302,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
152,0.8330,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
153,0.8359,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
154,0.8390,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
155,0.8421,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
156,0.8455,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
157,0.8493,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
158,0.8529,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
159,0.8570,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
160,0.8611,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
161,0.8647,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
162,0.8680,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
163,0.8709,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
164,0.8736,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
165,0.8772,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
166,0.8805,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
167,0.8834,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
168,0.8864,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
169,0.8898,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
170,0.8937,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
171,0.8973,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
172,0.9015,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
173,0.9051,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
174,0.9080,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
175,0.9119,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
176,0.9146,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
177,0.9175,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
178,0.9205,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
179,0.9246,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
180,0.9572,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
181,0.9688,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
182,0.9736,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
183,0.9793,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
184,0.9848,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
185,0.9914,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
186,0.9979,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
187,1.0022,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
188,1.0060,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
189,1.0122,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
190,1.0171,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
191,1.0209,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
192,1.0248,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
193,1.0301,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
194,1.0353,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
195,1.0399,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
196,1.0440,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
197,1.0481,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
198,1.0514,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
199,1.0546,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
200,1.0595,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
201,1.0652,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
202,1.0698,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
203,1.0736,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
204,1.0790,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
205,1.0827,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
206,1.0862,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
207,1.0898,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
208,1.0978,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
209,1.1044,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
210,1.1106,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
211,1.1142,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
212,1.1177,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
213,1.1209,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
214,1.1238,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
215,1.1279,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
216,1.1322,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
217,1.1357,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
218,1.1395,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
219,1.1426,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
220,1.1461,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
221,1.1493,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
222,1.1521,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
223,1.1549,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
224,1.1580,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
225,1.1616,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
226,1.1660,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
227,1.1716,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
228,1.1752,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
229,1.1793,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
230,1.1824,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
231,1.1852,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
232,1.1885,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
233,1.1919,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
234,1.1955,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
235,1.1984,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
236,1.2011,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
237,1.2042,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
238,1.2073,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
239,1.2128,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
240,1.2174,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
241,1.2214,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
242,1.2256,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
243,1.2316,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
244,1.2368,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
